,ts,code,method,isPractical,majorForCourse,fstMajor,secMajor,status,gender,enterDate,m_suitable,m_comfort,m_feedback,m_boring,m_valuable,m_selfEval,m_satisfaction,m_helpful,m_timeManage,m_ta,m_share,m_discuss,m_activity,m_concentrate,m_sameMethod,emo_miss,emo_isolated,emo_anx,emo_worse,emo_meet,emo_relationship,emo_optim,cop_music,cop_walk,cop_media,cop_creative,cop_sports,cop_game,cop_sns,cop_talk,cop_sleep,cop_drink,cop_alcohol,cop_group,covidClassType,live_home,live_library,live_cafe,live_bus,rec_home,rec_library,rec_cafe,rec_bus,env_home,env_tool,env_platform,env_disturb,env_library,env_cafe,env_group,env_alone
0,2021-11-18 13:12:28.213,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,None,Full time student in South Korea,Female,I started university in 2020 or later.,Agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Live Online , Pre-recorded lectures , Offline , Flipped course",Mostly true,Mostly true,Mostly true,Not at all true,Sometimes true,Sometimes true,Mostly true,Not at all true,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Agree
1,2021-11-18 13:13:00.870,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,Data science/AI/CS/Computing-related,Full time student in South Korea,Male,I started university BEFORE 2020.,Strongly agree,Neutral,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Agree,Agree,Neutral,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,"Live Online , Pre-recorded lectures , Offline",Sometimes true,Sometimes true,Mostly true,Not at all true,Very true,Very true,Very true,Not at all true,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly disagree,Strongly disagree
2,2021-11-18 13:13:26.154,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,HASS,Data science/AI/CS/Computing-related,Full time student in South Korea,Male,I started university BEFORE 2020.,Neutral,Agree,Disagree,Disagree,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,"Live Online , Pre-recorded lectures , Flipped course",Very true,Not at all true,Sometimes true,Not at all true,Very true,Not at all true,Very true,A little true,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly disagree
3,2021-11-18 13:13:53.880,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,None,Full time student in South Korea,Male,I started university in 2020 or later.,Agree,Agree,Strongly agree,Disagree,Agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Neutral,Neutral,Agree,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly Agree,Agree,Agree,Strongly disagree,Neutral,Strongly disagree,Agree,Strongly disagree,"Live Online , Pre-recorded lectures , Offline , Flipped course",Very true,Not at all true,Not at all true,Not at all true,Mostly true,Mostly true,Not at all true,Not at all true,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree
4,2021-11-18 13:15:37.031,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,Hybrid/Unclear,Data science/AI/CS/Computing-related,Full time student in South Korea,Female,I started university BEFORE 2020.,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Agree,Strongly agree,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Offline,Very true,Very true,A little true,Not at all true,Very true,Very true,Very true,A little true,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
5,2021-11-18 13:15:47.175,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,HASS,Mathematics/Statistics,Full time student in South Korea,Male,I started university BEFORE 2020.,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Strongly agree,Disagree,Neutral,Agree,Agree,Strongly disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Live Online , Pre-recorded lectures , Offline",Very true,Sometimes true,Sometimes true,A little true,Mostly true,Sometimes true,A little true,Not at all true,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree
6,2021-11-18 13:16:05.603,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,None,Visiting student from abroad  semesters,Male,I started university BEFORE 2020.,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Neutral,Neutral,Neutral,Strongly disagree,Strongly Agree,Offline,None,None,None,None,None,None,None,None,Disagree,Agree,Agree,Neutral,Strongly Agree,Neutral,Disagree,Strongly Agree
7,2021-11-18 13:16:33.899,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,HASS,Data science/AI/CS/Computing-related,Full time student in South Korea,Female,I started university BEFORE 2020.,Agree,Agree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,"Live Online , Pre-recorded lectures , Offline",Very true,Not at all true,Not at all true,Not at all true,Very true,Not at all true,Not at all true,Not at all true,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
8,2021-11-18 13:16:44.417,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,None,Full time student in South Korea,Male,I started university in 2020 or later.,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,"Live Online , Pre-recorded lectures , Offline",Sometimes true,A little true,A little true,Sometimes true,Sometimes true,A little true,Sometimes true,Sometimes true,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral
9,2021-11-18 13:16:45.660,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,HASS,Data science/AI/CS/Computing-related,Full time student in South Korea,Female,I started university BEFORE 2020.,Agree,Agree,Disagree,Disagree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,"Live Online , Pre-recorded lectures",Very true,Mostly true,Sometimes true,Not at all true,Very true,Mostly true,Mostly true,Mostly true,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Neutral,Disagree,Strongly Agree
